stimulus,ball_index,order,DM,HOW,WHETHER,SUFFICIENT,ROBUST
stimuli/collisions/hit/stim1.mp4,1,2,0.0,0.0,0.0,0.0,0.0
stimuli/collisions/hit/stim1.mp4,2,1,1.0,1.0,0.1,1.0,0.0
stimuli/collisions/hit/stim1.mp4,3,3,0.0,0.0,0.0,1.0,0.0
stimuli/collisions/hit/stim2.mp4,1,1,1.0,1.0,1.0,1.0,1.0
stimuli/collisions/hit/stim2.mp4,2,3,0.0,0.0,0.0,0.0,0.0
stimuli/collisions/hit/stim2.mp4,3,2,0.0,0.0,0.0,0.0,0.0
stimuli/collisions/hit/stim3.mp4,1,3,0.0,0.0,0.0,0.0,0.0
stimuli/collisions/hit/stim3.mp4,2,2,1.0,0.0,0.7,0.0,0.9
stimuli/collisions/hit/stim3.mp4,3,1,1.0,1.0,1.0,1.0,1.0
