contrast,num_dm_f,estimate,SE,df,z.ratio,p.value
RICK - CSM,1,-0.8800478074373759,0.9907174922016884,Inf,-0.8882933978299209,0.374382950139369
RICK - CSM,2,-20.548175510881432,1.0285240314125275,Inf,-19.978313469896776,8.504879743803878e-89
RICK - CSM,3,-24.249467670144192,1.0491259862924878,Inf,-23.113971045402774,3.350536729633549e-118
