model,num_dm,mae,sd
RICK,1,6.183304050700102,10.905302188337037
RICK,2,11.4401892731354,14.678752216855576
RICK,3,18.711944823492917,27.21930902521968
CSM,1,7.063351858136741,11.252335229976316
CSM,2,31.988364784016756,22.395080449245054
CSM,3,42.96141249363697,16.353588153507125
